"sections","DCI.as"
"55152_s",40.4366898808368
"62689_s",24.3937366998265
"2680_s",26.4691191205270
"35836_s",20.5318996393074
"42009_s",24.4427340131733
"2857_s",25.7181537699922
"42708_s",18.3716243938733
"169_s",12.8849934655726
"9418_s",1.09929080957360
"16187_s",14.7244757940880
"33106_s",14.4652094797618
"65746_s",20.1633114994607
"17976_s",8.61788310939505
"33111_s",10.4411741666867
"45658_s",15.1291072326181
"17960_s",6.80981697144902
"33563_s",5.24825372673119
"44856_s",11.6639814904226
"17868_s",6.83076413757074
"12163_s",4.19559706329034
"sink",44.2982297054221
